system:index,B8A,B9,LAI,MSR2,OSAVI,RDVI,.geo
0_13,2279.0,1738.0,0.4883192479610443,0.41707638075207415,0.2952850908010487,23.856452793353608,
0_47,2081.0,1131.0,0.023665567860007286,0.9105424612130689,0.5441060217535546,15.143418029839909,
0_50,2306.0,1254.0,-0.22013230621814728,0.880747793247082,0.5316237673392241,14.203973811148245,
0_59,2907.0,1817.0,0.19289937615394592,0.6040229387605298,0.4007577998514207,22.09090909090909,
0_100,1972.0,1726.0,0.5082317590713501,0.06292837079784835,0.050466887402054385,16.897883344918128,
0_139,2021.0,1904.0,0.4309939444065094,0.17875351268085987,0.1376037959667853,22.011963481544512,
0_152,3065.0,2005.0,0.5307180881500244,0.5863732576900826,0.39143313121159207,22.438343759624054,
0_175,3056.0,2001.0,0.2916998267173767,0.6027682979218913,0.4000987406043559,23.995131299438622,
0_189,2829.0,1894.0,0.25608304142951965,0.6269337067092261,0.4126742787130868,23.62916335895079,
0_202,3287.0,2153.0,0.28208330273628235,0.642137805167106,0.4204837990735595,23.747209076019935,
0_217,3048.0,2091.0,0.4384578466415405,0.526601367104655,0.3588899868329678,24.94151445239956,
0_231,3061.0,2038.0,0.24902139604091644,0.6630794429563004,0.4310676887075347,25.08214869110028,
0_236,2032.0,1808.0,0.4257345199584961,0.24018533903556746,0.18094810036221345,16.30552414053649,
0_243,1949.0,1732.0,0.38235124945640564,0.24517886362599448,0.18437223028208416,20.795474297329537,
0_246,2131.0,1974.0,0.5180138945579529,0.15279321316661154,0.11870452275645597,22.097987798411527,
0_281,1824.0,1681.0,0.45645007491111755,0.14683152214623085,0.11430784741485865,20.200609573749293,
0_311,3211.0,2084.0,0.5099745392799377,0.37825888333390983,0.2714964993577112,21.42992096351597,
0_320,2999.0,1949.0,0.1891760528087616,0.6283197803080935,0.4133979486253859,21.776547138967533,
0_343,2251.0,1882.0,0.17245599627494812,0.5186438272993555,0.35442550719855925,21.731834155497236,
